uri	name	type	synonyms	definition	resource	wikipedia
http://purl.obolibrary.org/obo/ENVO_00000077	agricultural ecosystem	yes/no	agricultural environment, agrarian, farmed land, horticultural, agroecosystem	An ecosystem managed with a purpose, usually to produce crops or animal products.	The Environment Ontology	https://en.wikipedia.org/wiki/Agroecosystem
http://purl.obolibrary.org/obo/ENVO_00000519	agricultural terrace	yes/no	terraced field, terrace farmland	A piece of sloped plane that has been cut into a series of successively receding flat surfaces or platforms, which resemble steps, for the purposes of more effective farming.	The Environment Ontology	https://en.wikipedia.org/wiki/Terrace_(earthworks)
http://purl.obolibrary.org/obo/ENVO_01001835	alpine biome	yes/no	alpine region, alpine zone, alpine environment, alpine ecosystem	A biome which is subject to alpine altitudinal conditions.	The Environment Ontology	https://en.wiktionary.org/wiki/alpine
http://purl.obolibrary.org/obo/ENVO_01000954	alpine tree line ecotone	yes/no	alpine tree line	A tree line ecotone across which trees cease to grow due to the low temperatures or duration of snow cover that occur at increased elevations above mean sea level.	The Environment Ontology	https://en.wikipedia.org/wiki/Tree_line
http://purl.obolibrary.org/obo/ENVO_01001505	alpine tundra biome	yes/no	alpine tundra	A tundra biome which exists at high altitudes and where vegetation - dominated by a few species of dwarf shrubs, a few grasses, sedges, lichens, and mosses - is stunted due to low temperatures and high winds.	The Environment Ontology	https://en.wikipedia.org/wiki/Alpine_tundra
http://purl.obolibrary.org/obo/ENVO_01001371	alpine tundra ecosystem	yes/no	alpine tundra	A tundra ecosystem which exists at high altitudes and where vegetation is stunted due to low temperatures and high winds.	The Environment Ontology	https://en.wikipedia.org/wiki/Alpine_tundra
http://purl.obolibrary.org/obo/ENVO_01000219	anthropogenic terrestrial biome	yes/no	anthropogenic biome, anthromes, human biomes, intensive land-use biome	An anthropogenic terrestrial biome is a terrestrial biome which has community structures determined by human activity.	The Environment Ontology	https://en.wikipedia.org/wiki/Anthropogenic_biome
http://purl.obolibrary.org/obo/ENVO_01000576	apiary	yes/no	bee yard, beehives	An apiary is a place where beehives of honey bees are kept and maintained by beekeepers.	The Environment Ontology	https://en.wikipedia.org/wiki/Apiary
http://purl.obolibrary.org/obo/ENVO_00002030	aquatic biome	yes/no	lives in water, lives on water	A biome which is determined by a water body and which has ecological climax communities adapted to life in or on water.	The Environment Ontology	https://en.wikipedia.org/wiki/Aquatic_ecosystem
http://purl.obolibrary.org/obo/ENVO_01001787	aquatic ecosystem	yes/no	lives in water, lives on water	An ecosystem in a body of water.	The Environment Ontology	https://en.wikipedia.org/wiki/Aquatic_ecosystem
http://purl.obolibrary.org/obo/ENVO_01001838	arid biome	yes/no	dry climate, semi-arid, semiarid	A biome which is subject to arid environmental conditions.	The Environment Ontology	https://en.wikipedia.org/wiki/Arid
http://purl.obolibrary.org/obo/ENVO_00000161	banana plantation	yes/no	banana farm, banana estate	A commercial agricultural facility found in tropical climates where bananas are grown.	The Environment Ontology	https://en.wikipedia.org/wiki/Banana_plantation
http://purl.obolibrary.org/obo/ENVO_01000430	broadleaf forest	yes/no	broad-leaved tree, broad-leaf tree, broadleaf tree, deciduous forest, deciduous forests	A forest biome which contains densely packed populations or communities of broadleaf trees, strongly limiting light penetration to the forest floor.	The Environment Ontology	https://en.wikipedia.org/wiki/Broad-leaved_tree
http://purl.obolibrary.org/obo/ENVO_01001457	cloud forest	yes/no	water forest, primas forest, tropical montane cloud forest, moist forest	A montane forest ecosystem which 1) is evergreen, 2) present on mountains where there is frequent cloud and mist cover, 3) which has a large proportion of ferns and mosses in its plant communities, growing on all tree trunks and branches present in the ecosystem, and 3) harvests aerosolised water and adds it to the terrestrial water supply.	The Environment Ontology	https://en.wikipedia.org/wiki/Cloud_forest
http://purl.obolibrary.org/obo/ENVO_00000230	coastal wetland ecosystem	yes/no	coastal wetlands	A wetland ecosystem which overlaps both terrestrial and marine ecosystems.	The Environment Ontology	https://en.wikipedia.org/wiki/Wetland
http://purl.obolibrary.org/obo/ENVO_00000118	coconut plantation	yes/no	coconut farm, coconut estate	A commercial agricultural facility found in tropical climates where coconuts are grown.	The Environment Ontology	https://en.wikipedia.org/wiki/Coconut
http://purl.obolibrary.org/obo/ENVO_00000163	coffee plantation	yes/no	coffee farm, coffee estate	A commercial agricultural facility found in tropical climates where coffee is grown.	The Environment Ontology	https://en.wikipedia.org/wiki/Coffee
http://purl.obolibrary.org/obo/ENVO_01000004	concentration basin mediterranean sea biome	yes/no	mediterranean sea	The concentration basin mediterranean sea biome comprises expressions of the mediterranean sea biome that have higher salinity than bordering oceans due to evaporation. Water exchange consists of inflow of the fresher oceanic water in the upper layer and outflow of the saltier mediterranean water in the lower layer of the connecting channel.	The Environment Ontology	https://en.wikipedia.org/wiki/Mediterranean_sea
http://purl.obolibrary.org/obo/ENVO_01000240	conifer woodland	yes/no	conifer forest	A conifer woodland is a woodland which has a tree community primarily composed of coniferous trees, from the Division Pinophyta, also known as Coniferophyta or Coniferae.	The Environment Ontology	https://en.wikipedia.org/wiki/Conifer
http://purl.obolibrary.org/obo/ENVO_01000196	coniferous forest biome	yes/no	conifer forest	A coniferous forest biome is a forest biome which contains densely packed populations or communities of coniferous trees, strongly limiting light penetration to the forest floor.	The Environment Ontology	https://en.wikipedia.org/wiki/Conifer
http://purl.obolibrary.org/obo/ENVO_00000288	cotton plantation	yes/no	cotton farm, cotton estate	A commercial agricultural facility found in tropical climates where cotton is grown.	The Environment Ontology	https://en.wikipedia.org/wiki/Cotton
http://purl.obolibrary.org/obo/ENVO_01000245	cropland biome	yes/no	croplands, crop farm	A cropland ecosystem in which dominant ecological communities are maintained in a stable state - mimicking a climax community - by human intervention.	The Environment Ontology	https://en.wikipedia.org/wiki/Farm
http://purl.obolibrary.org/obo/ENVO_01001244	cropland ecosystem	yes/no	croplands, crop farm	An ecosystem which 1) is determined by communities of annual crops, perennial woody crops, or by actively tilled land, 2) is primarily used for agricultural activity, and 3) contains no village or larger human settlement.	The Environment Ontology	https://en.wikipedia.org/wiki/Farm
http://purl.obolibrary.org/obo/ENVO_01000331	cypress swamp	yes/no	Cupressaceae swamp	A cypress swamp is a swamp which has a plant community dominated by Cupressaceae, often swamp cypresses. Swamp cypresses typically belong to the genus Taxodium or the species Glyptostrobus pensilis and Actinostrobus pyramidalis.	The Environment Ontology	https://en.wikipedia.org/wiki/Swamp_cypress
http://purl.obolibrary.org/obo/ENVO_01000248	dense settlement biome	yes/no	urban environment, urban area, built-up area	A dense settlement biome is an anthropogenic terrestrial biome which is primarily used for human habitation, recreation, and industry within built structures with little other land use.	The Environment Ontology	https://en.wikipedia.org/wiki/Urban_area
http://purl.obolibrary.org/obo/ENVO_01000179	desert biome	yes/no	deserts, barren land, dry environment, dry climate, low precipitation 	A desert biome is a terrestrial biome which loses more liquid water by evapotranspiration than is supplied by precipitation and includes communities adapted to these conditions.	The Environment Ontology	https://en.wikipedia.org/wiki/Desert
http://purl.obolibrary.org/obo/ENVO_01001780	desert ecosystem	yes/no	deserts, barren land, dry environment, dry climate, low precipitation 	An ecosystem in which the composition, structure, and function of resident ecological assemblages are primarily determined by a desert.	The Environment Ontology	https://en.wikipedia.org/wiki/Desert
http://purl.obolibrary.org/obo/ENVO_01000955	desert tree line ecotone	yes/no	desert edge, desert border	A tree line ecotone across which trees cease to grow due to insufficient water availability due to a lack of water-based precipitation.	The Environment Ontology	https://en.wikipedia.org/wiki/Tree_line
http://purl.obolibrary.org/obo/ENVO_01001033	digestive tract environment	yes/no	lives in digestive tract, lives in gut	An environmental system which has its properties and dynamics determined by a digestive tract.	The Environment Ontology	https://en.wikipedia.org/wiki/Gastrointestinal_tract
http://purl.obolibrary.org/obo/ENVO_01000445	disturbed ecosystem	yes/no	disturbed environment, perturbed ecosystem, perturbed environment	An ecosystem which has been subject to a perturbation, that is, the ecosystem has undergone a pronounced change in response to a change in environmental conditions or other perturbation.	The Environment Ontology	https://en.wikipedia.org/wiki/Disturbance_(ecology)
http://purl.obolibrary.org/obo/ENVO_01000374	dry woodland	yes/no	dry woodlands, arid woodland	A dry woodland is a woodland which occurs in areas of rain shadow in a tropical marine climate,  receives very little rainfall,  typically has rapidly draining soils and trees which have adaptations to dry climates such as thick bark, small leaves, and the disposition to shed their leaves.	The Environment Ontology	https://en.wikipedia.org/wiki/Woodland
http://purl.obolibrary.org/obo/ENVO_01000930	ecological corridor	yes/no	wildlife corridor, habitat corridor, green corridor	An ecosystem which bridges two or more adjoining ecosystems and through which organisms may move or propagate.	The Environment Ontology	https://en.wikipedia.org/wiki/Wildlife_corridor
http://purl.obolibrary.org/obo/ENVO_01001058	environment associated with a fungal tissue	yes/no	lives on fungi, lives in fungi	An environmental system determined by part of a living or dead fungus.	The Environment Ontology	https://en.wikipedia.org/wiki/Fungus
http://purl.obolibrary.org/obo/ENVO_01001057	environment associated with a plant part or small plant	yes/no	lives on plants, lives in plants	An environmental system determined by part of a living or dead plant, or a whole small plant.	The Environment Ontology	https://en.wikipedia.org/wiki/Plant
http://purl.obolibrary.org/obo/ENVO_01000020	estuarine biome	yes/no	estuaries, brackish water, estuary, 	Expressions of the estuarine biome occur at wide lower courses of a rivers where they flow into a sea. Estuaries experience tidal flows and their water is a changing mixture of fresh and salt.	The Environment Ontology	https://en.wikipedia.org/wiki/Estuary
http://purl.obolibrary.org/obo/ENVO_2100005	face skin environment	yes/no	facial skin, face hairs, face hair follicles	Environment on or in skin of the face, e.g. hair follicles	The Environment Ontology	https://en.wikipedia.org/wiki/Face
http://purl.obolibrary.org/obo/ENVO_00000078	farm	yes/no	farmland, agricultural holding, arable land	An area of land which is used for the cultivation of crops or grazing of livestock, including any agricultural constructions therein.	The Environment Ontology	https://en.wikipedia.org/wiki/Farm
http://purl.obolibrary.org/obo/ENVO_2100006	feather environment	yes/no	plumage, feathers, feather follicles	A branching, hair-like structure that grows on the bodies of birds, used for flight, swimming, protection and display.	The Environment Ontology	https://en.wikipedia.org/wiki/Feather
http://purl.obolibrary.org/obo/ENVO_01001114	feed storage space	yes/no	stored product, feed store, feed storage, grain store, fodder	A physical space, which may or may not be in a construction, which is used to store animal feed for agricultural purposes.	The Environment Ontology	https://en.wikipedia.org/wiki/Animal_feed
http://purl.obolibrary.org/obo/ENVO_01000627	feedlot	yes/no	feed yard, feedlots, feedyard	A feedlot is a plot of land on which livestock are fattened for market	The Environment Ontology	https://en.wikipedia.org/wiki/Feedlot
http://purl.obolibrary.org/obo/ENVO_00000232	fen	yes/no	fens, mire, peatland, quagmire	A freshwater peat land with chemically basic (which roughly means alkaline) ground water.	The Environment Ontology	https://en.wikipedia.org/wiki/Fen
http://purl.obolibrary.org/obo/ENVO_00000294	fish farm	yes/no	pisciculture, aquaculture, fish hatchery, carp farm, salmon farm, tilapia farm, trout farm, bream farm	A facility in which fish are raised commercially in tanks or enclosures, usually for food.	The Environment Ontology	https://en.wikipedia.org/wiki/Fish_farm
http://purl.obolibrary.org/obo/ENVO_00000154	flood meadow ecosystem	yes/no	flood-meadow, floodmeadow, flood meadows, flood-meadows, floodmeadows	An area of grassland or pasture beside a river, subject to seasonal flooding.	The Environment Ontology	https://en.wikipedia.org/wiki/Flood_meadow
http://purl.obolibrary.org/obo/ENVO_01001807	flooded grassland	yes/no	flooded grasslands, flooded savanna, flooded savannas	Large expanses or complexes of flooded grasslands	The Environment Ontology	https://en.wikipedia.org/wiki/Flooded_grasslands_and_savannas
http://purl.obolibrary.org/obo/ENVO_01000195	flooded grassland biome	yes/no	flooded grasslands, flooded savanna, flooded savannas	Large expanses or complexes of flooded grasslands	The Environment Ontology	https://en.wikipedia.org/wiki/Flooded_grasslands_and_savannas
http://purl.obolibrary.org/obo/ENVO_01000190	flooded savanna biome	yes/no	flooded grasslands, flooded savanna, flooded savannas	A flooded savanna biome is a savanna biome which has very wet to saturated soil moisture content.	The Environment Ontology	https://en.wikipedia.org/wiki/Flooded_grasslands_and_savannas
http://purl.obolibrary.org/obo/ENVO_01000174	forest biome	yes/no	forests, high tree density	A forest ecosystem in which dominant ecological communities have reached their climax successional state.	The Environment Ontology	https://en.wikipedia.org/wiki/Forest
http://purl.obolibrary.org/obo/ENVO_01001243	forest ecosystem	yes/no	forests, high tree density	An ecosystem which is determined by communities of plants with a tree growth form and in which members of those communities form continuous or discontinuous regions of canopy cover.	The Environment Ontology	https://en.wikipedia.org/wiki/Forest
http://purl.obolibrary.org/obo/ENVO_00000873	freshwater biome	yes/no	fresh water body, freshwater environment	An aquatic biome which is determined by a body of freshwater.	The Environment Ontology	https://en.wikipedia.org/wiki/Fresh_water
http://purl.obolibrary.org/obo/ENVO_01001789	freshwater ecosystem	yes/no	fresh water body, freshwater environment	An aquatic biome which is determined by a body of freshwater.	The Environment Ontology	https://en.wikipedia.org/wiki/Fresh_water
http://purl.obolibrary.org/obo/ENVO_01000252	freshwater lake biome	yes/no	fresh water lake, freshwater lake, freshwater lakes	A biome which is determined by a freshwater lake.	The Environment Ontology	https://en.wikipedia.org/wiki/Lake
http://purl.obolibrary.org/obo/ENVO_00000053	freshwater marsh	yes/no	fresh water marsh, freshwater marshes, freshwater swamp	A marsh in which soils are saturated with water that contains low concentrations of salts.	The Environment Ontology	https://en.wikipedia.org/wiki/Marsh
http://purl.obolibrary.org/obo/ENVO_01000253	freshwater river biome	yes/no	fresh water river, freshwater rivers, freshwater stream, river, stream, rivers, streams	A large and often winding stream which drains a land mass, carrying water down from higher areas to a lower point, oftentimes ending in another body of water.	The Environment Ontology	https://en.wikipedia.org/wiki/River
http://purl.obolibrary.org/obo/ENVO_00000243	freshwater wetland ecosystem	yes/no	fresh water wetland, freshwater wetlands, freshwater swamp	A wetland which is inundated with water that contains low concentrations of salts.	The Environment Ontology	https://en.wikipedia.org/wiki/Wetland
http://purl.obolibrary.org/obo/ENVO_01000177	grassland biome	yes/no	grasslands	A grassland ecosystem in which dominant ecological communities have reached their climax successional state.	The Environment Ontology	https://en.wikipedia.org/wiki/Grassland
http://purl.obolibrary.org/obo/ENVO_01001206	grassland ecosystem	yes/no	grasslands	An ecosystem in which grasses (Graminae) are the dominant form of vegetation and determine the system's structure and dynamics.	The Environment Ontology	https://en.wikipedia.org/wiki/Grassland
http://purl.obolibrary.org/obo/ENVO_00000389	intermittent wetland	yes/no	temporary wetland, temporary wetlands, seasonal wetland, seasonal wetlands	A wetland ecosystem which is sometimes inundated or saturated by surface or ground water sufficient to support, and that under normal circumstances do support, a prevalence of vegetation typically adapted for life in saturated soil conditions.	The Environment Ontology	https://en.wikipedia.org/wiki/Wetland
http://purl.obolibrary.org/obo/ENVO_01001468	intertidal ecosystem	yes/no	intertidal zone, littoral	An ecosystem which overlaps those areas of the foreshore and seabed that are exposed to the air at low tide and submerged at high tide.	The Environment Ontology	https://en.wikipedia.org/wiki/Intertidal_zone
http://purl.obolibrary.org/obo/ENVO_2100002	intestine environment	yes/no	lives in digestive tract, lives in gut, lives in intestines	An environmental system determined by an intestine.	The Environment Ontology	https://en.wikipedia.org/wiki/Gastrointestinal_tract
http://purl.obolibrary.org/obo/ENVO_01000241	juniper woodland	yes/no	juniper-dominated woodland	A juniper woodland is a woodland which has a tree community primarily composed of trees of the genus Juniperus.	The Environment Ontology	https://en.wikipedia.org/wiki/Juniper
http://purl.obolibrary.org/obo/ENVO_00000242	lacustrine mudflat	yes/no	mudflats, mud flats, muddy wetland	A wetland that forms when mud is deposited by a stream.	The Environment Ontology	https://en.wikipedia.org/wiki/Mudflat
http://purl.obolibrary.org/obo/ENVO_00000887	large river biome	yes/no	large river, large rivers, river, rivers	A large and often winding water body which drains a land mass, carrying water down from higher areas to a lower point, oftentimes ending in another body of water.	The Environment Ontology	https://en.wikipedia.org/wiki/River
http://purl.obolibrary.org/obo/ENVO_00000889	large river delta biome	yes/no	river delta, river deltas	A landform created by deposition of sediment that is carried by a river as the flow leaves its mouth	The Environment Ontology	https://en.wikipedia.org/wiki/River_delta
http://purl.obolibrary.org/obo/ENVO_00000888	large river headwater biome	yes/no	river source, river sources	The headwaters of a river or stream is the farthest place in that river or stream from its estuary or downstream confluence with another river, as measured along the course of the river. It is also known as a river's source.	The Environment Ontology	https://en.wikipedia.org/wiki/River_source
http://purl.obolibrary.org/obo/ENVO_01000181	mangrove biome	yes/no	mangroves, Rhizophoraceae, halophytes, mangrove	A mangrove biome is a terrestrial biome which includes, across its spatial extent, mangrove plants (Rhizophoraceae). Mangrove plants are able to withstand high levels of salinity as well as regions of anoxia and frequent tidal inundation. Mangrove biomes often occur near tropical and sub-tropical estuaries and depositional marine coastal environments where fine sediments (often with high organic content) collect in areas protected from high energy wave action.	The Environment Ontology	https://en.wikipedia.org/wiki/Mangrove
http://purl.obolibrary.org/obo/ENVO_00000057	mangrove swamp	yes/no	mangroves, Rhizophoraceae, halophytes, mangrove	A swamp which is located in tropical or subtropical environments and is determined by communities of trees and shrubs growing saline coastal environments.	The Environment Ontology	https://en.wikipedia.org/wiki/Mangrove
http://purl.obolibrary.org/obo/ENVO_01001115	manure storage space	yes/no	organic fertilizer store, manure store, animal manure	A physical space, which may or may not be in a construction, which is used to store animal manure for agricultural purposes.	The Environment Ontology	https://en.wikipedia.org/wiki/Manure
http://purl.obolibrary.org/obo/ENVO_01000027	marine abyssal zone biome	yes/no	abyssal zone, abyssopelagic	The marine abyssal zone biome comprises regions of the marine benthic biome  between approximately 2500 m and 6000 m depth. This zone generally coincides with the continental rise and the abyssal plain.	The Environment Ontology	https://en.wikipedia.org/wiki/Abyssal_zone
http://purl.obolibrary.org/obo/ENVO_01000054	marine basaltic hydrothermal vent biome	yes/no	hydrothermal vent, hydrothermal vents, black smokers, white smokers, deep sea vent, deep sea vents, basalt vent	A marine basaltic hydrothermal vent biome comprises regions of the marine hydrothermal vent biome hosted on basaltic rocks. Basalt generally has a composition of 45 to 55 wt % SiO2, 2 to 6 wt % total alkalis, 0.5 to 2.0 wt % TiO2, 5 to 14 wt % FeO and 14 wt % or more Al2O3. Contents of CaO are commonly near 10 wt %, those of MgO commonly in the range 5 to 12 wt %.	The Environment Ontology	https://en.wikipedia.org/wiki/Hydrothermal_vent
http://purl.obolibrary.org/obo/ENVO_01000026	marine bathyal zone biome	yes/no	bathyal zone, bathypelagic, bathypelagic zone, midnight zone	The marine bathyal zone biome comprises regions of the marine benthic biome between approximately 200 m and 3000 m depth. This zone generally coincides with the continental slope.	The Environment Ontology	https://en.wikipedia.org/wiki/Bathyal_zone
http://purl.obolibrary.org/obo/ENVO_01000024	marine benthic biome	yes/no	sea bottom, ocean bottom, benthic zone, bottom of the sea, bottom of the ocean, seabed, seafloor	The marine benthic biome (benthic meaning 'bottom') encompasses the seafloor and includes such areas as shores, littoral or intertidal areas, marine coral reefs, and the deep seabed.	The Environment Ontology	https://en.wikipedia.org/wiki/Benthic_zone
http://purl.obolibrary.org/obo/ENVO_00000447	marine biome	yes/no	oceanic, pelagic, marine environment, marine ecosystem, sea, ocean	An aquatic biome which is determined by a marine water body, of or pertaining to the sea or ocean.	The Environment Ontology	https://en.wikipedia.org/wiki/Ocean
http://purl.obolibrary.org/obo/ENVO_01000051	marine black smoker biome	yes/no	black smoker, hydrothermal vent, black smokers, deep sea vent, deep sea vents	A marine black smoker biome comprises regions of the marine hydrothermal vent biome characterised by a black vent plume. This black plume is a consequence of dissolved metals and minerals forming complexes with sulphide and indicates polymetallic sulphide mineral deposits beneath the surface.	The Environment Ontology	https://en.wikipedia.org/wiki/Hydrothermal_vent#Black_smokers_and_white_smokers
http://purl.obolibrary.org/obo/ENVO_01000127	marine cold seep biome	yes/no	cold seep, cold vent, cold vents, brine pool seepage, deep sea seepage, brine pools	A marine benthic biome which is determined by a cold seep.	The Environment Ontology	https://en.wikipedia.org/wiki/Cold_seep
http://purl.obolibrary.org/obo/ENVO_01000049	marine coral reef biome	yes/no	coral reef, coral reefs, reef-building corals	The marine coral reef biome comprises constructional wave-resistant entities which are primarily built by corals and are often cemented together. The growth of these structures is aided by zooxanthellae, algae that are symbiotic with the reef-building corals.	The Environment Ontology	https://en.wikipedia.org/wiki/Coral_reef
http://purl.obolibrary.org/obo/ENVO_01001788	marine ecosystem	yes/no	oceanic, pelagic, marine environment, marine ecosystem, sea, ocean	An aquatic ecosystem which is determined by a marine water body, of or pertaining to the sea or ocean.	The Environment Ontology	https://en.wikipedia.org/wiki/Ocean
http://purl.obolibrary.org/obo/ENVO_01000028	marine hadal zone biome	yes/no	hadal zone, hadopelagic	The marine hadal zone biome describes sea floor deeper than 6000 m such as that of the oceanic trenches.	The Environment Ontology	https://en.wikipedia.org/wiki/Hadal_zone
http://purl.obolibrary.org/obo/ENVO_01000030	marine hydrothermal vent biome	yes/no	hydrothermal vent, hydrothermal vents, black smokers, white smokers, deep sea vent, deep sea vents, basalt vent	The marine hydrothermal vent biome comprises regions of the marine benthic biome where heat generated due to tectonic activity, either at divergent plate boundaries or convergent ocean plates where back-arc spreading occurs, is released or 'vented' to the surface. The resultant high temperature water jets are laden with dissolved metals and minerals.	The Environment Ontology	https://en.wikipedia.org/wiki/Hydrothermal_vent
http://purl.obolibrary.org/obo/ENVO_01000025	marine neritic benthic zone biome	yes/no	neritic zone, coastal waters, coastal ocean, sublittoral zone	The marine neritic zone biome comprises sea floor from the high tide mark to a continental shelf break. This zone generally extends to 200 m below average sea level.	The Environment Ontology	https://en.wikipedia.org/wiki/Neritic_zone
http://purl.obolibrary.org/obo/ENVO_01000023	marine pelagic biome	yes/no	pelagic zone, ocean water column, pelagic, open sea, open ocean	The marine pelagic biome (pelagic meaning open sea) is that of the marine water column, from the surface to the greatest depths.	The Environment Ontology	https://en.wikipedia.org/wiki/Pelagic_zone
http://purl.obolibrary.org/obo/ENVO_01000029	marine reef biome	yes/no	coastal ridge	A biome expressed by strips or ridges of rocks, sand, or coral that rises to or near the surface of a body of marine water.	The Environment Ontology	https://en.wikipedia.org/wiki/Reef
http://purl.obolibrary.org/obo/ENVO_01000022	marine salt marsh biome	yes/no	salt marsh, salty marsh, saltmarsh, coastal salt marsh, tidal marsh	The marine salt marsh biome comprises marshes that are transitional intertidals between land and salty or brackish marine water (e.g.: sloughs, bays, estuaries). It is dominated by halophytic (salt tolerant) herbaceous plants. The daily tidal surges bring in nutrients, which tend to settle in roots of the plants within the salt marsh. The natural chemical activity of salty (or brackish) water and the tendency of algae to bloom in the shallow unshaded water also allow for great biodiversity.	The Environment Ontology	https://en.wikipedia.org/wiki/Salt_marsh
http://purl.obolibrary.org/obo/ENVO_01000123	marine sponge reef biome	yes/no	sponge reef, sponge reefs, Hexactinellid sponges	The marine sponge reef biome comprises marine reefs primarily built by marine sponges. The primary frame-building sponges are all members of the order Hexactinosa. They are found only in glacier-scoured troughs of low-angle continental shelf. The seafloor is stable and consists of rock, coarse gravel, and large boulders.	The Environment Ontology	https://en.wikipedia.org/wiki/Sponge_reef
http://purl.obolibrary.org/obo/ENVO_01000050	marine subtidal rocky reef biome	yes/no	rocky reef, rocky reefs, subtidal reef, subtidal reefs	The marine rocky subtidal reef biome comprises regions of the marine reef biome composed mainly of rock and which harbour abundant communities of algae and invertebrates. These reefs are often very patchy, with alterations of rocks dominated by rich invertebrate assemblages and turf-forming calcareous red algae.	The Environment Ontology	https://en.wikipedia.org/wiki/Reef
http://purl.obolibrary.org/obo/ENVO_01000858	marine upwelling biome	yes/no	upwelling zone, upwelling ecosystem, ocean upwelling, sea upwelling, marine upwelling	A marine biome which contains communities adapted to living in an environment determined by an upwelling process.	The Environment Ontology	https://en.wikipedia.org/wiki/Upwelling
http://purl.obolibrary.org/obo/ENVO_01000052	marine white smoker biome	yes/no	white smoker, hydrothermal vent, white smokers, deep sea vent, deep sea vents	A marine white smoker biome comprises regions of the marine hydrothermal vent biome characterised by lightly hued plumes, typically containing barium, calcium, and silicon. These vents tend to have lower temperature plumes when compared to black smoker environments.	The Environment Ontology	https://en.wikipedia.org/wiki/Hydrothermal_vent
http://purl.obolibrary.org/obo/ENVO_00000035	marsh	yes/no	marshes, marshy, marshland	A wetland ecosystem which includes communities of grasses, rushes, reeds, typhas, sedges, and other herbaceous plants (possibly with low-growing woody plants).	The Environment Ontology	https://en.wikipedia.org/wiki/Marsh
http://purl.obolibrary.org/obo/ENVO_00000108	meadow ecosystem	yes/no	meadows, meadowland, meadow grass, meadow grassland	A grassland ecosystem which contains a variety of annual, biennial and perennial plants growing on rolling or flat terrain.	The Environment Ontology	https://en.wikipedia.org/wiki/Meadow
http://purl.obolibrary.org/obo/ENVO_01001833	mediterranean biome	yes/no	dry summer climate, mediterranean climate	A biome which is subject to mediterranean climatic conditions.	The Environment Ontology	https://en.wikipedia.org/wiki/Mediterranean_climate
http://purl.obolibrary.org/obo/ENVO_01001791	mediterranean forest	yes/no	mediterranean forests, mediterranean woodlands, mediterranean scrub, mediterranean scrublands	A forest ecosystem which includes communities adapted to 1) hot to warm, dry summers, 2) mild to cold, rainy winters, and 3) the influence of large, usually marine, bodies of water.	The Environment Ontology	https://en.wikipedia.org/wiki/Mediterranean_forests,_woodlands,_and_scrub
